date_id,year,month,quarter
20171207,2017,12,4
20171208,2017,12,4
20171209,2017,12,4
20171210,2017,12,4
20171211,2017,12,4
20171212,2017,12,4
20171213,2017,12,4
20171214,2017,12,4
20171215,2017,12,4
20171216,2017,12,4
20171217,2017,12,4
20171218,2017,12,4
20171219,2017,12,4
20171220,2017,12,4
20171221,2017,12,4
20171222,2017,12,4
20171223,2017,12,4
20171224,2017,12,4
20171225,2017,12,4
20171226,2017,12,4
20171227,2017,12,4
20171228,2017,12,4
20171229,2017,12,4
20171230,2017,12,4
20171231,2017,12,4
20180101,2018,1,1
20180102,2018,1,1
20180103,2018,1,1
20180104,2018,1,1
20180105,2018,1,1
20180106,2018,1,1
20180107,2018,1,1
20180108,2018,1,1
20180109,2018,1,1
20180110,2018,1,1
20180111,2018,1,1
20180112,2018,1,1
20180113,2018,1,1
20180114,2018,1,1
20180115,2018,1,1
20180116,2018,1,1
20180117,2018,1,1
20180118,2018,1,1
20180119,2018,1,1
20180120,2018,1,1
20180121,2018,1,1
20180122,2018,1,1
20180123,2018,1,1
20180124,2018,1,1
20180125,2018,1,1
20180126,2018,1,1
20180127,2018,1,1
20180128,2018,1,1
20180129,2018,1,1
20180130,2018,1,1
20180131,2018,1,1
20180201,2018,2,1
20180202,2018,2,1
20180203,2018,2,1
20180204,2018,2,1
20180205,2018,2,1
20180206,2018,2,1
20180207,2018,2,1
20180208,2018,2,1
20180209,2018,2,1
20180210,2018,2,1
20180211,2018,2,1
20180212,2018,2,1
20180213,2018,2,1
20180214,2018,2,1
20180215,2018,2,1
20180216,2018,2,1
20180217,2018,2,1
20180218,2018,2,1
20180219,2018,2,1
20180220,2018,2,1
20180221,2018,2,1
20180222,2018,2,1
20180223,2018,2,1
20180224,2018,2,1
20180225,2018,2,1
20180226,2018,2,1
20180227,2018,2,1
20180228,2018,2,1
20180301,2018,3,1
20180302,2018,3,1
20180303,2018,3,1
20180304,2018,3,1
20180305,2018,3,1
20180306,2018,3,1
20180307,2018,3,1
20180308,2018,3,1
20180309,2018,3,1
20180310,2018,3,1
20180311,2018,3,1
20180312,2018,3,1
20180313,2018,3,1
20180314,2018,3,1
20180315,2018,3,1
20180316,2018,3,1
20180317,2018,3,1
20180318,2018,3,1
20180319,2018,3,1
20180320,2018,3,1
20180321,2018,3,1
20180322,2018,3,1
20180323,2018,3,1
20180324,2018,3,1
20180325,2018,3,1
20180326,2018,3,1
20180327,2018,3,1
20180328,2018,3,1
20180329,2018,3,1
20180330,2018,3,1
20180331,2018,3,1
